Filial;Código de Barras;;;Quantidade
ES - VITORIA 227;7898464629737;;;11
ES - VITORIA 228;7898464629751;;;1
ES - VITORIA 229;7898464629768;;;14
ES - VITORIA 230;7898464629782;;;8
ES - VITORIA 231;7898464629805;;;45
ES - VITORIA 232;7898464629843;;;17
ES - VITORIA 233;7898464629911;;;78
ES - VITORIA 234;7898464629935;;;27
ES - VITORIA 235;7898464629942;;;45
ES - VITORIA 236;7898464629959;;;59
ES - VITORIA 237;7898464629973;;;30
ES - VITORIA 238;7898464629980;;;34
ES - VITORIA 239;7898596390680;;;12
ES - VITORIA 240;7898596391311;;;13
ES - VITORIA 241;7898596391496;;;14
ES - VITORIA 242;7898602570617;;;13
ES - VITORIA 243;7898953040586;;;13
ES - VITORIA 244;7899891300015;;;12
ES - VITORIA 245;7899891300022;;;22
ES - VITORIA 246;7899891300039;;;21
ES - VITORIA 247;7899891300046;;;25
ES - VITORIA 248;7899891300053;;;16
ES - VITORIA 249;7899891300060;;;42
ES - VITORIA 250;7899891300077;;;61
ES - VITORIA 251;7899891300220;;;36
ES - VITORIA 252;7899891300237;;;76
ES - VITORIA 253;7899891300244;;;4
ES - VITORIA 254;7899891300367;;;24
ES - VITORIA 255;7899891300435;;;81
ES - VITORIA 256;7899891300671;;;93
ES - VITORIA 257;7899891300688;;;16
ES - VITORIA 258;7899891300787;;;32
ES - VITORIA 259;7899891300794;;;10
ES - VITORIA 260;7899891300800;;;3
ES - VITORIA 261;7899891300831;;;27
ES - VITORIA 262;7899891300893;;;3
ES - VITORIA 263;7899891300930;;;7
ES - VITORIA 264;7899891300947;;;32
ES - VITORIA 265;7899891300954;;;13
ES - VITORIA 266;7899891300961;;;5
ES - VITORIA 267;7899891300978;;;24
ES - VITORIA 268;7899891300985;;;25
ES - VITORIA 269;7899891300992;;;14
ES - VITORIA 270;7899891301227;;;20
ES - VITORIA 271;7899891301234;;;15
ES - VITORIA 272;7899891301395;;;50
ES - VITORIA 273;7899891301401;;;25
ES - VITORIA 274;7899891301418;;;23
ES - VITORIA 275;7899891301425;;;14
ES - VITORIA 276;7899891301654;;;2
ES - VITORIA 277;7899891301685;;;13
ES - VITORIA 278;7899891301920;;;11
ES - VITORIA 279;7899891301937;;;10
ES - VITORIA 280;7899891301944;;;15
ES - VITORIA 281;7899891301975;;;1
ES - VITORIA 282;7899891301982;;;3
ES - VITORIA 283;7899891302101;;;15
ES - VITORIA 284;7899891302132;;;43
ES - VITORIA 285;7899891302149;;;15
ES - VITORIA 286;7899891302156;;;4
ES - VITORIA 287;7899891302163;;;21
ES - VITORIA 288;7899891302255;;;27
ES - VITORIA 289;7899891302279;;;10
ES - VITORIA 290;7899891302323;;;13
ES - VITORIA 291;7899891302330;;;19
ES - VITORIA 292;7899891302354;;;1
ES - VITORIA 293;7899891302521;;;11
ES - VITORIA 294;7899891302538;;;37
ES - VITORIA 295;7899891302545;;;20
ES - VITORIA 296;7899891302590;;;5
ES - VITORIA 297;7899891302606;;;17
ES - VITORIA 298;7899891302613;;;15
ES - VITORIA 299;7899891302620;;;23
ES - VITORIA 300;7899891302743;;;14
ES - VITORIA 301;7899891302750;;;32
ES - VITORIA 302;7899891302767;;;11
ES - VITORIA 303;7899891302774;;;14
ES - VITORIA 304;7899891302781;;;14
ES - VITORIA 305;7899891302798;;;17
ES - VITORIA 306;7899891302804;;;11
ES - VITORIA 307;7899891302811;;;22
ES - VITORIA 308;7899891302828;;;18
ES - VITORIA 309;7899891302835;;;15
ES - VITORIA 310;7899891302897;;;10
ES - VITORIA 311;7899891302903;;;10
ES - VITORIA 312;7899891302910;;;10
ES - VITORIA 313;7899891302927;;;10
ES - VITORIA 314;7899891302934;;;10
ES - VITORIA 315;7899891302941;;;10
ES - VITORIA 316;7899891302958;;;10
ES - VITORIA 317;7899891302965;;;10
ES - VITORIA 318;7899891302972;;;28
ES - VITORIA 319;7899891302996;;;12
ES - VITORIA 320;7899891303207;;;15
ES - VITORIA 321;7899891303214;;;10
ES - VITORIA 322;7899891303221;;;14
ES - VITORIA 323;7899891303238;;;8
ES - VITORIA 324;7899891303245;;;10
ES - VITORIA 325;7899891303252;;;13
ES - VITORIA 326;7899891303269;;;20
ES - VITORIA 327;7899891303276;;;18
ES - VITORIA 328;7899891303283;;;16
ES - VITORIA 329;7899891303290;;;9
ES - VITORIA 330;7899891303313;;;7
ES - VITORIA 331;7899891303320;;;8
ES - VITORIA 332;7899891303337;;;11
ES - VITORIA 333;7899891303368;;;16
ES - VITORIA 334;7899891303375;;;12
ES - VITORIA 335;7899891303382;;;12
ES - VITORIA 336;7899891303399;;;17
ES - VITORIA 337;7899891303405;;;7
ES - VITORIA 338;7899891303412;;;10
ES - VITORIA 339;7899891303429;;;25
ES - VITORIA 340;7899891303436;;;12
ES - VITORIA 341;7899891303443;;;20
ES - VITORIA 342;7899891303450;;;6
ES - VITORIA 343;7899891303467;;;12
ES - VITORIA 344;7899891303528;;;18
ES - VITORIA 345;7899891303535;;;18
ES - VITORIA 346;7899891303542;;;14
ES - VITORIA 347;7899891303559;;;45
ES - VITORIA 348;7899891303566;;;44
ES - VITORIA 349;7899891303573;;;23
ES - VITORIA 350;7899891303580;;;30
ES - VITORIA 351;7899891302088;;;26
ES - VITORIA 352;7899891302118;;;7
ES - VITORIA 353;7899891302040;;;3
